row_id,result
1,[]
2,[{78}]
3,[{225}]
4,[{156}]
5,[{215}]
6,[{94}]
7,[{179}]
8,"[{189}, {267}, {171}]"
9,"[{124}, {6}, {13}, {51}]"
10,[]
11,"[{115}, {184}]"
12,[]
13,[]
14,[]
15,[]
16,"[{None}, {35}, {10}, {'AntimateriaDiluita'}, {191}, {45}, {281}, {147}, {269}]"
17,"[{None}, {35}, {10}, {'AntimateriaDiluita'}, {191}, {45}, {281}, {147}]"
18,"[{276}, {212}, {16}, {'Vento'}, {263}, {112}, {190}]"
19,"[{91}, {170}, {37}, {128}, {132}]"
20,[]
21,[]
22,[]
23,[]
24,[]
25,[]
26,[]
27,[]
28,[]
29,[]
30,[]
31,[]
32,[]
33,[]
34,[]
35,[]
36,[{121}]
37,[]
38,[]
39,[]
40,"[{None}, {247}, {42}, {99}, {267}, {110}]"
41,[]
42,"[{55}, {191}, {200}]"
43,"[{179}, {48}]"
44,"[{59}, {265}, {123}, {64}, {275}, {37}, {207}]"
45,[]
46,[]
47,[]
48,[]
49,[]
50,[]
51,[]
52,"[{102}, {231}]"
53,[]
54,[]
55,[]
56,[]
57,[]
58,[]
59,[]
60,[]
61,[]
62,[]
63,[]
64,[]
65,[]
66,[]
67,[]
68,[]
69,"[{190}, {52}]"
70,[]
71,[]
72,[]
73,[]
74,[]
75,[]
76,[]
77,[]
78,[]
79,[]
80,[]
81,[]
82,"[{'error': '{code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input \':\': expected an expression (line 3, column 10 (offset: 131))\n""  AND r-[:SITUATO]->(:Pianeta {nome: \'Pandora\'})""\n          ^}'}]"
83,[]
84,[]
85,[]
86,[]
87,[]
88,[]
89,[]
90,[]
91,[]
92,[]
93,[]
94,"[{'error': '{code: Neo.ClientError.Statement.SyntaxError} {message: Variable `DISTANZA` not defined (line 5, column 33 (offset: 177))\n""WHERE (pl.nome = \'Cybertron\' OR DISTANZA.km <= 1191000000000000)""\n                                 ^}'}]"
95,"[{'error': '{code: Neo.ClientError.Statement.SyntaxError} {message: PatternExpressions are not allowed to introduce new variables: \'d\'. (line 4, column 13 (offset: 124))\n""   OR ((p)-[d:DISTANZA]->(c) AND d.km <= 784103000000000)""\n             ^}'}]"
96,"[{0}, {1}, {2}, {3}, {4}, {5}, {6}, {7}, {8}, {9}, {10}, {11}, {12}, {13}, {14}, {15}, {16}, {17}, {18}, {19}, {20}]"
97,[]
98,[]
99,[]
100,[]
101,[]
